Quarter,Sex,Sector,Employment
2023 Q2,Female,Accommodation & Food,97.8
2023 Q2,Male,Accommodation & Food,80.5
2023 Q2,Female,Admin & Support,47.8
2023 Q2,Male,Admin & Support,64.5
2023 Q2,Female,Agriculture,15.3
2023 Q2,Male,Agriculture,86.6
2023 Q2,Female,Construction,15.4
2023 Q2,Male,Construction,157.1
2023 Q2,Female,Education,163.5
2023 Q2,Male,Education,57.9
2023 Q2,Female,Financial & Insurance,68.8
2023 Q2,Male,Financial & Insurance,70.2
2023 Q2,Female,Human Health & Social Work,290.1
2023 Q2,Male,Human Health & Social Work,68.0
2023 Q2,Female,Industry,103.6
2023 Q2,Male,Industry,217.1
2023 Q2,Female,Information & Communication,56.1
2023 Q2,Male,Information & Communication,119.6
2023 Q2,Female,Professional & Scientific,79.5
2023 Q2,Male,Professional & Scientific,98.7
2023 Q2,Female,Public Admin & Defence,75.6
2023 Q2,Male,Public Admin & Defence,69.1
2023 Q2,Female,Transport & Storage,20.6
2023 Q2,Male,Transport & Storage,96.3
2023 Q2,Female,Wholesale & Retail,167.3
2023 Q2,Male,Wholesale & Retail,172.1
2023 Q3,Female,Accommodation & Food,100.4
2023 Q3,Male,Accommodation & Food,82.7
2023 Q3,Female,Admin & Support,47.2
2023 Q3,Male,Admin & Support,64.5
2023 Q3,Female,Agriculture,17.4
2023 Q3,Male,Agriculture,97.3
2023 Q3,Female,Construction,13.2
2023 Q3,Male,Construction,156.2
2023 Q3,Female,Education,163.9
2023 Q3,Male,Education,58.9
2023 Q3,Female,Financial & Insurance,65.3
2023 Q3,Male,Financial & Insurance,69.4
2023 Q3,Female,Human Health & Social Work,282.9
2023 Q3,Male,Human Health & Social Work,79.8
2023 Q3,Female,Industry,111.1
2023 Q3,Male,Industry,214.2
2023 Q3,Female,Information & Communication,55.7
2023 Q3,Male,Information & Communication,123.8
2023 Q3,Female,Professional & Scientific,81.7
2023 Q3,Male,Professional & Scientific,99.1
2023 Q3,Female,Public Admin & Defence,68.9
2023 Q3,Male,Public Admin & Defence,68.3
2023 Q3,Female,Transport & Storage,21.3
2023 Q3,Male,Transport & Storage,95.2
2023 Q3,Female,Wholesale & Retail,164.8
2023 Q3,Male,Wholesale & Retail,159.4
2023 Q4,Female,Accommodation & Food,94.1
2023 Q4,Male,Accommodation & Food,89.0
2023 Q4,Female,Admin & Support,47.7
2023 Q4,Male,Admin & Support,58.8
2023 Q4,Female,Agriculture,15.4
2023 Q4,Male,Agriculture,97.5
2023 Q4,Female,Construction,11.4
2023 Q4,Male,Construction,149.9
2023 Q4,Female,Education,174.5
2023 Q4,Male,Education,60.5
2023 Q4,Female,Financial & Insurance,66.6
2023 Q4,Male,Financial & Insurance,69.1
2023 Q4,Female,Human Health & Social Work,283.6
2023 Q4,Male,Human Health & Social Work,81.7
2023 Q4,Female,Industry,107.6
2023 Q4,Male,Industry,212.9
2023 Q4,Female,Information & Communication,47.2
2023 Q4,Male,Information & Communication,121.7
2023 Q4,Female,Professional & Scientific,83.3
