Quarter,Region,Sector,Employment
2023 Q3,Dublin,Public Admin & Defence,47.7
2023 Q3,Dublin,Transport & Storage,42.9
2023 Q3,Dublin,Wholesale & Retail,82.4
2023 Q3,Mid-East,Accommodation & Food,27.4
2023 Q3,Mid-East,Admin & Support,15.7
2023 Q3,Mid-East,Agriculture,11.3
2023 Q3,Mid-East,Construction,29.8
2023 Q3,Mid-East,Education,29.5
2023 Q3,Mid-East,Financial & Insurance,23.6
2023 Q3,Mid-East,Human Health & Social Work,49.3
2023 Q3,Mid-East,Industry,43.1
2023 Q3,Mid-East,Information & Communication,24.4
2023 Q3,Mid-East,Professional & Scientific,25.6
2023 Q3,Mid-East,Public Admin & Defence,23.2
2023 Q3,Mid-East,Transport & Storage,19.6
2023 Q3,Mid-East,Wholesale & Retail,55.8
2023 Q3,Mid-West,Accommodation & Food,17.2
2023 Q3,Mid-West,Admin & Support,9.9
2023 Q3,Mid-West,Agriculture,16.7
2023 Q3,Mid-West,Construction,15.6
2023 Q3,Mid-West,Education,24.6
2023 Q3,Mid-West,Financial & Insurance,5.6
2023 Q3,Mid-West,Human Health & Social Work,39.3
2023 Q3,Mid-West,Industry,43.0
2023 Q3,Mid-West,Information & Communication,9.1
2023 Q3,Mid-West,Professional & Scientific,14.0
2023 Q3,Mid-West,Public Admin & Defence,10.1
2023 Q3,Mid-West,Transport & Storage,9.2
2023 Q3,Mid-West,Wholesale & Retail,27.6
2023 Q3,Midland,Accommodation & Food,10.1
2023 Q3,Midland,Agriculture,9.4
2023 Q3,Midland,Construction,13.7
2023 Q3,Midland,Education,13.6
2023 Q3,Midland,Human Health & Social Work,23.3
2023 Q3,Midland,Industry,20.1
2023 Q3,Midland,Information & Communication,6.0
2023 Q3,Midland,Professional & Scientific,8.4
2023 Q3,Midland,Public Admin & Defence,10.6
2023 Q3,Midland,Transport & Storage,5.5
2023 Q3,Midland,Wholesale & Retail,23.3
2023 Q3,South-East,Accommodation & Food,14.9
2023 Q3,South-East,Admin & Support,10.7
2023 Q3,South-East,Agriculture,17.0
2023 Q3,South-East,Construction,18.3
2023 Q3,South-East,Education,16.2
2023 Q3,South-East,Financial & Insurance,7.0
2023 Q3,South-East,Human Health & Social Work,31.8
2023 Q3,South-East,Industry,28.9
2023 Q3,South-East,Information & Communication,7.0
2023 Q3,South-East,Professional & Scientific,16.2
2023 Q3,South-East,Public Admin & Defence,10.8
2023 Q3,South-East,Transport & Storage,9.8
2023 Q3,South-East,Wholesale & Retail,29.7
2023 Q3,South-West,Accommodation & Food,35.0
2023 Q3,South-West,Admin & Support,15.5
2023 Q3,South-West,Agriculture,24.2
2023 Q3,South-West,Construction,22.7
2023 Q3,South-West,Education,30.3
2023 Q3,South-West,Financial & Insurance,10.1
2023 Q3,South-West,Human Health & Social Work,51.1
2023 Q3,South-West,Industry,59.2
2023 Q3,South-West,Information & Communication,22.7
2023 Q3,South-West,Professional & Scientific,22.0
2023 Q3,South-West,Public Admin & Defence,13.7
2023 Q3,South-West,Transport & Storage,11.9
2023 Q3,South-West,Wholesale & Retail,52.0
2023 Q3,West,Accommodation & Food,16.8
2023 Q3,West,Admin & Support,9.6
2023 Q3,West,Agriculture,14.9
2023 Q3,West,Construction,15.1
2023 Q3,West,Education,22.2
2023 Q3,West,Financial & Insurance,9.5
2023 Q3,West,Human Health & Social Work,37.2
2023 Q3,West,Industry,40.3
2023 Q3,West,Information & Communication,15.6
2023 Q3,West,Professional & Scientific,13.5
2023 Q3,West,Public Admin & Defence,10.5
2023 Q3,West,Transport & Storage,8.6
2023 Q3,West,Wholesale & Retail,33.4
2023 Q4,Border,Accommodation & Food,15.6
2023 Q4,Border,Admin & Support,4.9
2023 Q4,Border,Agriculture,19.2
2023 Q4,Border,Construction,16.6
2023 Q4,Border,Education,18.2
2023 Q4,Border,Financial & Insurance,6.0
2023 Q4,Border,Human Health & Social Work,31.6
2023 Q4,Border,Industry,30.6
2023 Q4,Border,Information & Communication,6.2
2023 Q4,Border,Professional & Scientific,12.1
2023 Q4,Border,Public Admin & Defence,11.4
2023 Q4,Border,Transport & Storage,6.9
2023 Q4,Border,Wholesale & Retail,22.9
2023 Q4,Dublin,Accommodation & Food,55.3
2023 Q4,Dublin,Admin & Support,39.3
2023 Q4,Dublin,Construction,35.1
2023 Q4,Dublin,Education,69.1
2023 Q4,Dublin,Financial & Insurance,67.4
2023 Q4,Dublin,Human Health & Social Work,99.5
2023 Q4,Dublin,Industry,57.2
2023 Q4,Dublin,Information & Communication,84.6
2023 Q4,Dublin,Professional & Scientific,72.3
2023 Q4,Dublin,Public Admin & Defence,47.9
2023 Q4,Dublin,Transport & Storage,40.7
2023 Q4,Dublin,Wholesale & Retail,88.0
2023 Q4,Mid-East,Accommodation & Food,24.0
2023 Q4,Mid-East,Admin & Support,13.0
2023 Q4,Mid-East,Agriculture,12.4
2023 Q4,Mid-East,Construction,26.9
2023 Q4,Mid-East,Education,34.5
2023 Q4,Mid-East,Financial & Insurance,22.3
2023 Q4,Mid-East,Human Health & Social Work,51.8
2023 Q4,Mid-East,Industry,43.7
2023 Q4,Mid-East,Information & Communication,21.7
2023 Q4,Mid-East,Professional & Scientific,29.2
2023 Q4,Mid-East,Public Admin & Defence,24.5
2023 Q4,Mid-East,Transport & Storage,18.7
2023 Q4,Mid-East,Wholesale & Retail,52.7
2023 Q4,Mid-West,Accommodation & Food,18.1
2023 Q4,Mid-West,Admin & Support,10.3
2023 Q4,Mid-West,Agriculture,14.6
2023 Q4,Mid-West,Construction,15.7
2023 Q4,Mid-West,Education,23.6
2023 Q4,Mid-West,Financial & Insurance,7.1
2023 Q4,Mid-West,Human Health & Social Work,39.1
2023 Q4,Mid-West,Industry,42.4
2023 Q4,Mid-West,Information & Communication,7.5
2023 Q4,Mid-West,Professional & Scientific,14.8
2023 Q4,Mid-West,Public Admin & Defence,11.9
2023 Q4,Mid-West,Transport & Storage,7.9
2023 Q4,Mid-West,Wholesale & Retail,32.0
2023 Q4,Midland,Accommodation & Food,10.1
2023 Q4,Midland,Agriculture,8.8
2023 Q4,Midland,Construction,11.0
2023 Q4,Midland,Education,13.4
2023 Q4,Midland,Human Health & Social Work,22.0
2023 Q4,Midland,Industry,21.2
2023 Q4,Midland,Information & Communication,7.7
2023 Q4,Midland,Professional & Scientific,8.8
2023 Q4,Midland,Public Admin & Defence,8.4
2023 Q4,Midland,Transport & Storage,6.5
2023 Q4,Midland,Wholesale & Retail,22.8
2023 Q4,South-East,Accommodation & Food,15.2
2023 Q4,South-East,Admin & Support,10.5
2023 Q4,South-East,Agriculture,16.9
2023 Q4,South-East,Construction,18.3
2023 Q4,South-East,Education,20.8
2023 Q4,South-East,Financial & Insurance,7.8
2023 Q4,South-East,Human Health & Social Work,33.1
2023 Q4,South-East,Industry,27.4
2023 Q4,South-East,Information & Communication,7.3
2023 Q4,South-East,Professional & Scientific,13.8
2023 Q4,South-East,Public Admin & Defence,9.5
2023 Q4,South-East,Transport & Storage,9.5
2023 Q4,South-East,Wholesale & Retail,32.2
2023 Q4,South-West,Accommodation & Food,28.0
2023 Q4,South-West,Admin & Support,16.8
2023 Q4,South-West,Agriculture,24.5
2023 Q4,South-West,Construction,22.9
2023 Q4,South-West,Education,33.1
2023 Q4,South-West,Financial & Insurance,11.3
2023 Q4,South-West,Human Health & Social Work,52.4
2023 Q4,South-West,Industry,60.7
2023 Q4,South-West,Information & Communication,21.3
2023 Q4,South-West,Professional & Scientific,21.5
2023 Q4,South-West,Public Admin & Defence,15.2
2023 Q4,South-West,Transport & Storage,12.2
2023 Q4,South-West,Wholesale & Retail,54.1
2023 Q4,West,Accommodation & Food,16.9
2023 Q4,West,Admin & Support,8.0
2023 Q4,West,Agriculture,15.0
2023 Q4,West,Construction,14.8
2023 Q4,West,Education,22.3
2023 Q4,West,Financial & Insurance,9.3
2023 Q4,West,Human Health & Social Work,35.7
2023 Q4,West,Industry,37.2
2023 Q4,West,Information & Communication,12.7
2023 Q4,West,Professional & Scientific,14.1
2023 Q4,West,Public Admin & Defence,13.9
2023 Q4,West,Transport & Storage,7.3
2023 Q4,West,Wholesale & Retail,39.2
2024 Q1,Border,Accommodation & Food,15.3
2024 Q1,Border,Admin & Support,6.2
2024 Q1,Border,Agriculture,18.6
2024 Q1,Border,Construction,15.8
2024 Q1,Border,Education,19.0
2024 Q1,Border,Human Health & Social Work,31.4
2024 Q1,Border,Industry,29.6
2024 Q1,Border,Professional & Scientific,9.6
2024 Q1,Border,Public Admin & Defence,12.2
2024 Q1,Border,Transport & Storage,6.1
2024 Q1,Border,Wholesale & Retail,22.3
2024 Q1,Dublin,Accommodation & Food,53.1
2024 Q1,Dublin,Admin & Support,35.6
2024 Q1,Dublin,Construction,40.4
2024 Q1,Dublin,Education,68.3
2024 Q1,Dublin,Financial & Insurance,72.1
2024 Q1,Dublin,Human Health & Social Work,105.9
2024 Q1,Dublin,Industry,53.8
2024 Q1,Dublin,Information & Communication,88.9
2024 Q1,Dublin,Professional & Scientific,77.0
2024 Q1,Dublin,Public Admin & Defence,47.9
2024 Q1,Dublin,Transport & Storage,40.2
2024 Q1,Dublin,Wholesale & Retail,88.2
2024 Q1,Mid-East,Accommodation & Food,24.5
2024 Q1,Mid-East,Admin & Support,17.9
2024 Q1,Mid-East,Agriculture,11.5
2024 Q1,Mid-East,Construction,31.8
2024 Q1,Mid-East,Education,31.5
2024 Q1,Mid-East,Financial & Insurance,21.7
2024 Q1,Mid-East,Human Health & Social Work,45.0
2024 Q1,Mid-East,Industry,46.6
2024 Q1,Mid-East,Information & Communication,23.9
2024 Q1,Mid-East,Professional & Scientific,25.5
2024 Q1,Mid-East,Public Admin & Defence,22.4
2024 Q1,Mid-East,Transport & Storage,20.2
2024 Q1,Mid-East,Wholesale & Retail,51.8
2024 Q1,Mid-West,Accommodation & Food,18.5
2024 Q1,Mid-West,Admin & Support,9.8
2024 Q1,Mid-West,Agriculture,14.4
2024 Q1,Mid-West,Construction,15.7
2024 Q1,Mid-West,Education,22.8
2024 Q1,Mid-West,Financial & Insurance,7.9
2024 Q1,Mid-West,Human Health & Social Work,35.9
2024 Q1,Mid-West,Industry,43.2
2024 Q1,Mid-West,Information & Communication,7.2
2024 Q1,Mid-West,Professional & Scientific,15.5
2024 Q1,Mid-West,Public Admin & Defence,12.0
2024 Q1,Mid-West,Transport & Storage,11.0
2024 Q1,Mid-West,Wholesale & Retail,33.3
2024 Q1,Midland,Accommodation & Food,10.1
2024 Q1,Midland,Admin & Support,5.7
2024 Q1,Midland,Agriculture,9.8
2024 Q1,Midland,Construction,11.9
2024 Q1,Midland,Education,15.9
2024 Q1,Midland,Human Health & Social Work,19.8
2024 Q1,Midland,Industry,20.6
2024 Q1,Midland,Information & Communication,6.1
2024 Q1,Midland,Professional & Scientific,9.8
2024 Q1,Midland,Public Admin & Defence,9.3
2024 Q1,Midland,Transport & Storage,7.3
2024 Q1,Midland,Wholesale & Retail,23.9
2024 Q1,South-East,Accommodation & Food,10.4
2024 Q1,South-East,Admin & Support,8.9
2024 Q1,South-East,Agriculture,15.7
2024 Q1,South-East,Construction,17.1
2024 Q1,South-East,Education,17.8
2024 Q1,South-East,Financial & Insurance,8.5
2024 Q1,South-East,Human Health & Social Work,34.2
2024 Q1,South-East,Industry,31.0
2024 Q1,South-East,Information & Communication,8.4
2024 Q1,South-East,Professional & Scientific,16.7
2024 Q1,South-East,Public Admin & Defence,10.0
2024 Q1,South-East,Transport & Storage,7.1
2024 Q1,South-East,Wholesale & Retail,27.8
2024 Q1,South-West,Accommodation & Food,25.7
2024 Q1,South-West,Admin & Support,16.6
2024 Q1,South-West,Agriculture,23.2
2024 Q1,South-West,Construction,24.0
2024 Q1,South-West,Education,32.2
2024 Q1,South-West,Financial & Insurance,9.9
2024 Q1,South-West,Human Health & Social Work,51.0
2024 Q1,South-West,Industry,56.2
2024 Q1,South-West,Information & Communication,22.9
2024 Q1,South-West,Professional & Scientific,24.8
2024 Q1,South-West,Public Admin & Defence,18.0
2024 Q1,South-West,Transport & Storage,11.6
2024 Q1,South-West,Wholesale & Retail,50.1
2024 Q1,West,Accommodation & Food,16.7
2024 Q1,West,Admin & Support,10.5
2024 Q1,West,Agriculture,13.5
2024 Q1,West,Construction,15.0
2024 Q1,West,Education,23.5
2024 Q1,West,Financial & Insurance,8.9
2024 Q1,West,Human Health & Social Work,32.2
2024 Q1,West,Industry,42.4
2024 Q1,West,Information & Communication,13.1
2024 Q1,West,Professional & Scientific,17.7
2024 Q1,West,Public Admin & Defence,12.5
2024 Q1,West,Transport & Storage,7.6
2024 Q1,West,Wholesale & Retail,31.5
2024 Q2,Border,Accommodation & Food,20.2
2024 Q2,Border,Agriculture,17.3
2024 Q2,Border,Construction,17.2
2024 Q2,Border,Education,19.1
2024 Q2,Border,Financial & Insurance,4.9
2024 Q2,Border,Human Health & Social Work,30.8
2024 Q2,Border,Industry,27.3
2024 Q2,Border,Professional & Scientific,8.3
2024 Q2,Border,Public Admin & Defence,13.0
2024 Q2,Border,Transport & Storage,7.7
2024 Q2,Border,Wholesale & Retail,20.9
2024 Q2,Dublin,Accommodation & Food,53.6
2024 Q2,Dublin,Admin & Support,40.0
2024 Q2,Dublin,Construction,33.5
2024 Q2,Dublin,Education,63.2
2024 Q2,Dublin,Financial & Insurance,73.2
2024 Q2,Dublin,Human Health & Social Work,110.2
2024 Q2,Dublin,Industry,64.7
2024 Q2,Dublin,Information & Communication,94.2
2024 Q2,Dublin,Professional & Scientific,79.4
2024 Q2,Dublin,Public Admin & Defence,52.0
2024 Q2,Dublin,Transport & Storage,45.6
2024 Q2,Dublin,Wholesale & Retail,79.0
2024 Q2,Mid-East,Accommodation & Food,25.8
2024 Q2,Mid-East,Admin & Support,16.9
2024 Q2,Mid-East,Agriculture,11.4
2024 Q2,Mid-East,Construction,27.2
2024 Q2,Mid-East,Education,36.4
2024 Q2,Mid-East,Financial & Insurance,18.5
2024 Q2,Mid-East,Human Health & Social Work,46.8
2024 Q2,Mid-East,Industry,48.6
2024 Q2,Mid-East,Information & Communication,24.2
2024 Q2,Mid-East,Professional & Scientific,28.2
2024 Q2,Mid-East,Public Admin & Defence,24.9
2024 Q2,Mid-East,Transport & Storage,21.5
2024 Q2,Mid-East,Wholesale & Retail,53.5
2024 Q2,Mid-West,Accommodation & Food,15.3
2024 Q2,Mid-West,Admin & Support,10.1
2024 Q2,Mid-West,Agriculture,14.9
2024 Q2,Mid-West,Construction,15.6
2024 Q2,Mid-West,Education,23.5
2024 Q2,Mid-West,Financial & Insurance,7.1
2024 Q2,Mid-West,Human Health & Social Work,42.3
2024 Q2,Mid-West,Industry,43.2
2024 Q2,Mid-West,Information & Communication,9.3
2024 Q2,Mid-West,Professional & Scientific,15.0
2024 Q2,Mid-West,Public Admin & Defence,13.5
2024 Q2,Mid-West,Transport & Storage,13.0
2024 Q2,Mid-West,Wholesale & Retail,31.8
2024 Q2,Midland,Accommodation & Food,8.8
2024 Q2,Midland,Admin & Support,6.7
2024 Q2,Midland,Agriculture,9.3
2024 Q2,Midland,Construction,12.0
2024 Q2,Midland,Education,13.8
2024 Q2,Midland,Human Health & Social Work,21.5
2024 Q2,Midland,Industry,19.0
2024 Q2,Midland,Information & Communication,8.2
2024 Q2,Midland,Professional & Scientific,9.3
2024 Q2,Midland,Public Admin & Defence,10.6
2024 Q2,Midland,Transport & Storage,7.3
2024 Q2,Midland,Wholesale & Retail,22.3
2024 Q2,South-East,Accommodation & Food,14.1
2024 Q2,South-East,Admin & Support,7.9
2024 Q2,South-East,Agriculture,14.6
2024 Q2,South-East,Construction,16.3
2024 Q2,South-East,Education,19.6
2024 Q2,South-East,Financial & Insurance,7.9
2024 Q2,South-East,Human Health & Social Work,35.7
2024 Q2,South-East,Industry,29.0
2024 Q2,South-East,Information & Communication,8.8
2024 Q2,South-East,Professional & Scientific,14.7
2024 Q2,South-East,Public Admin & Defence,11.2
2024 Q2,South-East,Transport & Storage,6.9
2024 Q2,South-East,Wholesale & Retail,31.6
2024 Q2,South-West,Accommodation & Food,26.9
2024 Q2,South-West,Admin & Support,16.7
2024 Q2,South-West,Agriculture,20.1
2024 Q2,South-West,Construction,23.8
2024 Q2,South-West,Education,35.5
2024 Q2,South-West,Financial & Insurance,10.0
2024 Q2,South-West,Human Health & Social Work,54.1
2024 Q2,South-West,Industry,64.5
2024 Q2,South-West,Information & Communication,23.4
2024 Q2,South-West,Professional & Scientific,29.5
2024 Q2,South-West,Public Admin & Defence,17.7
2024 Q2,South-West,Transport & Storage,11.2
2024 Q2,South-West,Wholesale & Retail,47.8
2024 Q2,West,Accommodation & Food,19.5
2024 Q2,West,Admin & Support,9.3
2024 Q2,West,Agriculture,14.1
2024 Q2,West,Construction,15.2
2024 Q2,West,Education,22.1
2024 Q2,West,Financial & Insurance,8.0
2024 Q2,West,Human Health & Social Work,35.1
2024 Q2,West,Industry,45.5
2024 Q2,West,Information & Communication,12.9
2024 Q2,West,Professional & Scientific,16.5
2024 Q2,West,Public Admin & Defence,9.3
2024 Q2,West,Transport & Storage,6.8
2024 Q2,West,Wholesale & Retail,27.7
2024 Q3,Border,Accommodation & Food,19.6
2024 Q3,Border,Agriculture,19.8
2024 Q3,Border,Construction,19.3
2024 Q3,Border,Education,16.5
2024 Q3,Border,Financial & Insurance,5.3
2024 Q3,Border,Human Health & Social Work,35.5
2024 Q3,Border,Industry,26.9
2024 Q3,Border,Professional & Scientific,10.7
2024 Q3,Border,Public Admin & Defence,12.2
2024 Q3,Border,Transport & Storage,8.7
2024 Q3,Border,Wholesale & Retail,22.4
2024 Q3,Dublin,Accommodation & Food,64.6
2024 Q3,Dublin,Admin & Support,37.0
2024 Q3,Dublin,Construction,39.4
2024 Q3,Dublin,Education,60.2
2024 Q3,Dublin,Financial & Insurance,70.2
2024 Q3,Dublin,Human Health & Social Work,109.2
2024 Q3,Dublin,Industry,63.4
2024 Q3,Dublin,Information & Communication,91.9
2024 Q3,Dublin,Professional & Scientific,81.0
2024 Q3,Dublin,Public Admin & Defence,48.1
2024 Q3,Dublin,Transport & Storage,42.1
2024 Q3,Dublin,Wholesale & Retail,82.7
2024 Q3,Mid-East,Accommodation & Food,25.3
2024 Q3,Mid-East,Admin & Support,11.6
2024 Q3,Mid-East,Agriculture,14.1
2024 Q3,Mid-East,Construction,33.2
2024 Q3,Mid-East,Education,34.2
2024 Q3,Mid-East,Financial & Insurance,21.2
2024 Q3,Mid-East,Human Health & Social Work,50.1
2024 Q3,Mid-East,Industry,47.2
2024 Q3,Mid-East,Information & Communication,26.9
2024 Q3,Mid-East,Professional & Scientific,29.7
2024 Q3,Mid-East,Public Admin & Defence,28.4
2024 Q3,Mid-East,Transport & Storage,16.2
2024 Q3,Mid-East,Wholesale & Retail,50.5
2024 Q3,Mid-West,Accommodation & Food,17.8
2024 Q3,Mid-West,Admin & Support,11.2
2024 Q3,Mid-West,Agriculture,16.0
2024 Q3,Mid-West,Construction,15.2
2024 Q3,Mid-West,Education,27.0
2024 Q3,Mid-West,Financial & Insurance,6.0
2024 Q3,Mid-West,Human Health & Social Work,34.3
2024 Q3,Mid-West,Industry,45.7
2024 Q3,Mid-West,Information & Communication,12.9
2024 Q3,Mid-West,Professional & Scientific,16.4
2024 Q3,Mid-West,Public Admin & Defence,13.4
2024 Q3,Mid-West,Transport & Storage,15.8
2024 Q3,Mid-West,Wholesale & Retail,31.0
2024 Q3,Midland,Accommodation & Food,8.4
2024 Q3,Midland,Admin & Support,5.6
2024 Q3,Midland,Agriculture,7.6
2024 Q3,Midland,Construction,10.9
2024 Q3,Midland,Education,13.4
2024 Q3,Midland,Human Health & Social Work,22.3
2024 Q3,Midland,Industry,22.1
2024 Q3,Midland,Information & Communication,7.5
2024 Q3,Midland,Professional & Scientific,11.0
2024 Q3,Midland,Public Admin & Defence,8.0
2024 Q3,Midland,Transport & Storage,7.1
2024 Q3,Midland,Wholesale & Retail,23.9
2024 Q3,South-East,Accommodation & Food,17.3
2024 Q3,South-East,Agriculture,16.8
2024 Q3,South-East,Construction,18.2
2024 Q3,South-East,Education,18.8
2024 Q3,South-East,Financial & Insurance,8.7
2024 Q3,South-East,Human Health & Social Work,33.5
2024 Q3,South-East,Industry,34.6
2024 Q3,South-East,Information & Communication,7.8
2024 Q3,South-East,Professional & Scientific,12.4
2024 Q3,South-East,Public Admin & Defence,12.2
2024 Q3,South-East,Transport & Storage,8.9
2024 Q3,South-East,Wholesale & Retail,33.7
2024 Q3,South-West,Accommodation & Food,28.6
2024 Q3,South-West,Admin & Support,19.2
2024 Q3,South-West,Agriculture,20.4
2024 Q3,South-West,Construction,23.5
2024 Q3,South-West,Education,36.6
2024 Q3,South-West,Financial & Insurance,10.9
2024 Q3,South-West,Human Health & Social Work,55.4
2024 Q3,South-West,Industry,59.6
2024 Q3,South-West,Information & Communication,21.5
2024 Q3,South-West,Professional & Scientific,24.3
2024 Q3,South-West,Public Admin & Defence,19.2
2024 Q3,South-West,Transport & Storage,12.9
2024 Q3,South-West,Wholesale & Retail,51.3
2024 Q3,West,Accommodation & Food,18.3
2024 Q3,West,Admin & Support,8.8
2024 Q3,West,Agriculture,15.6
2024 Q3,West,Construction,16.6
2024 Q3,West,Education,21.5
2024 Q3,West,Financial & Insurance,9.0
2024 Q3,West,Human Health & Social Work,38.9
2024 Q3,West,Industry,43.7
2024 Q3,West,Information & Communication,14.6
2024 Q3,West,Professional & Scientific,16.8
2024 Q3,West,Public Admin & Defence,12.0
2024 Q3,West,Transport & Storage,6.8
2024 Q3,West,Wholesale & Retail,27.9
2024 Q4,Border,Accommodation & Food,16.7
2024 Q4,Border,Agriculture,15.4
2024 Q4,Border,Construction,13.9
2024 Q4,Border,Education,14.6
2024 Q4,Border,Financial & Insurance,7.3
2024 Q4,Border,Human Health & Social Work,36.8
2024 Q4,Border,Industry,28.8
2024 Q4,Border,Information & Communication,6.8
2024 Q4,Border,Professional & Scientific,11.1
2024 Q4,Border,Public Admin & Defence,10.1
2024 Q4,Border,Transport & Storage,7.9
2024 Q4,Border,Wholesale & Retail,23.4
2024 Q4,Dublin,Accommodation & Food,64.5
2024 Q4,Dublin,Admin & Support,30.8
2024 Q4,Dublin,Construction,37.9
2024 Q4,Dublin,Education,65.1
2024 Q4,Dublin,Financial & Insurance,66.6
2024 Q4,Dublin,Human Health & Social Work,105.9
2024 Q4,Dublin,Industry,61.6
2024 Q4,Dublin,Information & Communication,88.5
2024 Q4,Dublin,Professional & Scientific,72.4
2024 Q4,Dublin,Public Admin & Defence,49.2
2024 Q4,Dublin,Transport & Storage,45.9
2024 Q4,Dublin,Wholesale & Retail,84.0
2024 Q4,Mid-East,Accommodation & Food,21.0
2024 Q4,Mid-East,Admin & Support,17.5
2024 Q4,Mid-East,Agriculture,11.5
2024 Q4,Mid-East,Construction,33.5
2024 Q4,Mid-East,Education,35.6
2024 Q4,Mid-East,Financial & Insurance,21.4
2024 Q4,Mid-East,Human Health & Social Work,48.9
2024 Q4,Mid-East,Industry,46.2
2024 Q4,Mid-East,Information & Communication,24.2
2024 Q4,Mid-East,Professional & Scientific,32.4
2024 Q4,Mid-East,Public Admin & Defence,28.0
2024 Q4,Mid-East,Transport & Storage,19.7
2024 Q4,Mid-East,Wholesale & Retail,51.2
2024 Q4,Mid-West,Accommodation & Food,15.5
2024 Q4,Mid-West,Admin & Support,9.3
2024 Q4,Mid-West,Agriculture,18.5
2024 Q4,Mid-West,Construction,15.6
2024 Q4,Mid-West,Education,28.9
2024 Q4,Mid-West,Financial & Insurance,6.3
2024 Q4,Mid-West,Human Health & Social Work,38.7
2024 Q4,Mid-West,Industry,44.2
2024 Q4,Mid-West,Information & Communication,13.5
2024 Q4,Mid-West,Professional & Scientific,20.2
2024 Q4,Mid-West,Public Admin & Defence,15.8
2024 Q4,Mid-West,Transport & Storage,11.8
2024 Q4,Mid-West,Wholesale & Retail,30.2
2024 Q4,Midland,Accommodation & Food,7.7
2024 Q4,Midland,Agriculture,8.6
2024 Q4,Midland,Construction,11.6
2024 Q4,Midland,Education,11.4
2024 Q4,Midland,Financial & Insurance,6.9
2024 Q4,Midland,Human Health & Social Work,23.2
2024 Q4,Midland,Industry,21.6
2024 Q4,Midland,Information & Communication,7.6
2024 Q4,Midland,Professional & Scientific,8.7
2024 Q4,Midland,Public Admin & Defence,8.7
2024 Q4,Midland,Transport & Storage,6.1
2024 Q4,Midland,Wholesale & Retail,19.8
2024 Q4,South-East,Accommodation & Food,14.5
2024 Q4,South-East,Admin & Support,6.6
2024 Q4,South-East,Agriculture,14.9
2024 Q4,South-East,Construction,17.8
2024 Q4,South-East,Education,20.0
2024 Q4,South-East,Financial & Insurance,10.1
2024 Q4,South-East,Human Health & Social Work,37.8
2024 Q4,South-East,Industry,33.1
2024 Q4,South-East,Information & Communication,7.6
2024 Q4,South-East,Professional & Scientific,10.4
2024 Q4,South-East,Public Admin & Defence,12.0
2024 Q4,South-East,Transport & Storage,10.0
2024 Q4,South-East,Wholesale & Retail,31.6
2024 Q4,South-West,Accommodation & Food,30.5
2024 Q4,South-West,Admin & Support,18.6
2024 Q4,South-West,Agriculture,20.5
2024 Q4,South-West,Construction,25.6
2024 Q4,South-West,Education,37.5
2024 Q4,South-West,Financial & Insurance,13.2
2024 Q4,South-West,Human Health & Social Work,53.0
2024 Q4,South-West,Industry,56.3
2024 Q4,South-West,Information & Communication,20.5
2024 Q4,South-West,Professional & Scientific,26.5
2024 Q4,South-West,Public Admin & Defence,14.8
2024 Q4,South-West,Transport & Storage,13.5
2024 Q4,South-West,Wholesale & Retail,55.7
2024 Q4,West,Accommodation & Food,14.0
2024 Q4,West,Admin & Support,7.7
2024 Q4,West,Agriculture,15.4
2024 Q4,West,Construction,20.1
2024 Q4,West,Education,26.7
2024 Q4,West,Financial & Insurance,9.6
2024 Q4,West,Human Health & Social Work,38.2
2024 Q4,West,Industry,40.5
2024 Q4,West,Information & Communication,14.3
2024 Q4,West,Professional & Scientific,16.8
2024 Q4,West,Public Admin & Defence,12.9
2024 Q4,West,Transport & Storage,6.7
2024 Q4,West,Wholesale & Retail,30.5
