Quarter,Region,Sector,Employment
2022 Q2,Mid-East,Agriculture,14.2
2022 Q2,Mid-East,Construction,32.0
2022 Q2,Mid-East,Education,32.5
2022 Q2,Mid-East,Financial & Insurance,22.9
2022 Q2,Mid-East,Human Health & Social Work,43.9
2022 Q2,Mid-East,Industry,46.4
2022 Q2,Mid-East,Information & Communication,17.9
2022 Q2,Mid-East,Professional & Scientific,22.0
2022 Q2,Mid-East,Public Admin & Defence,22.2
2022 Q2,Mid-East,Transport & Storage,17.8
2022 Q2,Mid-East,Wholesale & Retail,50.6
2022 Q2,Mid-West,Accommodation & Food,16.6
2022 Q2,Mid-West,Admin & Support,10.1
2022 Q2,Mid-West,Agriculture,17.8
2022 Q2,Mid-West,Construction,15.5
2022 Q2,Mid-West,Education,24.4
2022 Q2,Mid-West,Financial & Insurance,6.6
2022 Q2,Mid-West,Human Health & Social Work,31.9
2022 Q2,Mid-West,Industry,40.5
2022 Q2,Mid-West,Information & Communication,8.9
2022 Q2,Mid-West,Professional & Scientific,13.6
2022 Q2,Mid-West,Public Admin & Defence,11.7
2022 Q2,Mid-West,Transport & Storage,8.4
2022 Q2,Mid-West,Wholesale & Retail,34.3
2022 Q2,Midland,Accommodation & Food,7.5
2022 Q2,Midland,Agriculture,9.2
2022 Q2,Midland,Construction,12.5
2022 Q2,Midland,Education,12.3
2022 Q2,Midland,Human Health & Social Work,17.6
2022 Q2,Midland,Industry,20.5
2022 Q2,Midland,Information & Communication,8.1
2022 Q2,Midland,Professional & Scientific,10.9
2022 Q2,Midland,Public Admin & Defence,12.5
2022 Q2,Midland,Transport & Storage,9.3
2022 Q2,Midland,Wholesale & Retail,24.2
2022 Q2,South-East,Accommodation & Food,14.0
2022 Q2,South-East,Admin & Support,9.1
2022 Q2,South-East,Agriculture,10.7
2022 Q2,South-East,Construction,17.7
2022 Q2,South-East,Education,21.9
2022 Q2,South-East,Financial & Insurance,7.5
2022 Q2,South-East,Human Health & Social Work,31.7
2022 Q2,South-East,Industry,30.5
2022 Q2,South-East,Information & Communication,10.2
2022 Q2,South-East,Professional & Scientific,11.2
2022 Q2,South-East,Public Admin & Defence,10.3
2022 Q2,South-East,Transport & Storage,9.4
2022 Q2,South-East,Wholesale & Retail,23.1
2022 Q2,South-West,Accommodation & Food,30.2
2022 Q2,South-West,Admin & Support,16.0
2022 Q2,South-West,Agriculture,21.4
2022 Q2,South-West,Construction,22.8
2022 Q2,South-West,Education,29.4
2022 Q2,South-West,Financial & Insurance,9.8
2022 Q2,South-West,Human Health & Social Work,52.0
2022 Q2,South-West,Industry,59.7
2022 Q2,South-West,Information & Communication,21.3
2022 Q2,South-West,Professional & Scientific,20.4
2022 Q2,South-West,Public Admin & Defence,11.8
2022 Q2,South-West,Transport & Storage,11.7
2022 Q2,South-West,Wholesale & Retail,47.7
2022 Q2,West,Accommodation & Food,12.7
2022 Q2,West,Admin & Support,6.6
2022 Q2,West,Agriculture,15.7
2022 Q2,West,Construction,19.0
2022 Q2,West,Education,23.2
2022 Q2,West,Financial & Insurance,7.5
2022 Q2,West,Human Health & Social Work,33.0
2022 Q2,West,Industry,37.4
2022 Q2,West,Information & Communication,7.9
2022 Q2,West,Professional & Scientific,15.1
2022 Q2,West,Public Admin & Defence,12.6
2022 Q2,West,Transport & Storage,6.7
2022 Q2,West,Wholesale & Retail,33.9
2022 Q3,Border,Accommodation & Food,14.1
2022 Q3,Border,Admin & Support,5.6
2022 Q3,Border,Agriculture,15.3
2022 Q3,Border,Construction,15.6
2022 Q3,Border,Education,17.9
2022 Q3,Border,Human Health & Social Work,29.5
2022 Q3,Border,Industry,29.1
2022 Q3,Border,Professional & Scientific,8.5
2022 Q3,Border,Public Admin & Defence,13.6
2022 Q3,Border,Transport & Storage,6.9
2022 Q3,Border,Wholesale & Retail,24.8
2022 Q3,Dublin,Accommodation & Food,51.7
2022 Q3,Dublin,Admin & Support,44.2
2022 Q3,Dublin,Construction,45.7
2022 Q3,Dublin,Education,56.3
2022 Q3,Dublin,Financial & Insurance,68.7
2022 Q3,Dublin,Human Health & Social Work,96.6
2022 Q3,Dublin,Industry,64.9
2022 Q3,Dublin,Information & Communication,82.6
2022 Q3,Dublin,Professional & Scientific,65.5
2022 Q3,Dublin,Public Admin & Defence,40.1
2022 Q3,Dublin,Transport & Storage,41.3
2022 Q3,Dublin,Wholesale & Retail,81.8
2022 Q3,Mid-East,Accommodation & Food,19.6
2022 Q3,Mid-East,Admin & Support,19.0
2022 Q3,Mid-East,Agriculture,10.0
2022 Q3,Mid-East,Construction,27.2
2022 Q3,Mid-East,Education,32.5
2022 Q3,Mid-East,Financial & Insurance,23.5
2022 Q3,Mid-East,Human Health & Social Work,45.4
2022 Q3,Mid-East,Industry,47.7
2022 Q3,Mid-East,Information & Communication,20.6
2022 Q3,Mid-East,Professional & Scientific,24.4
2022 Q3,Mid-East,Public Admin & Defence,22.4
2022 Q3,Mid-East,Transport & Storage,17.8
2022 Q3,Mid-East,Wholesale & Retail,51.8
2022 Q3,Mid-West,Accommodation & Food,15.1
2022 Q3,Mid-West,Admin & Support,10.1
2022 Q3,Mid-West,Agriculture,18.1
2022 Q3,Mid-West,Construction,16.8
2022 Q3,Mid-West,Education,18.9
2022 Q3,Mid-West,Financial & Insurance,7.0
2022 Q3,Mid-West,Human Health & Social Work,33.0
2022 Q3,Mid-West,Industry,42.3
2022 Q3,Mid-West,Information & Communication,8.1
2022 Q3,Mid-West,Professional & Scientific,13.6
2022 Q3,Mid-West,Public Admin & Defence,10.7
2022 Q3,Mid-West,Transport & Storage,9.8
2022 Q3,Mid-West,Wholesale & Retail,32.7
2022 Q3,Midland,Accommodation & Food,10.0
2022 Q3,Midland,Agriculture,8.7
2022 Q3,Midland,Construction,10.4
2022 Q3,Midland,Education,9.8
2022 Q3,Midland,Human Health & Social Work,22.7
2022 Q3,Midland,Industry,19.0
2022 Q3,Midland,Information & Communication,9.7
2022 Q3,Midland,Professional & Scientific,9.1
2022 Q3,Midland,Public Admin & Defence,10.8
2022 Q3,Midland,Transport & Storage,8.5
2022 Q3,Midland,Wholesale & Retail,21.1
2022 Q3,South-East,Accommodation & Food,17.5
2022 Q3,South-East,Admin & Support,8.2
2022 Q3,South-East,Agriculture,11.9
2022 Q3,South-East,Construction,15.9
2022 Q3,South-East,Education,24.9
2022 Q3,South-East,Financial & Insurance,7.8
